"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20666","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-08-06","failed","2026-08-06","CRM Help Center - FAQ","","",""
"","68019","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","32272","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
"","28508","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","28527","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","36876","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
"","57194","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","33112","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
"","28880","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","30086","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM Help Center - Contact us","","",""
"","6552","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-08-06","passed","2026-08-06","Nafath login","","",""
"","27785","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","64393","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","66896","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","27016","apply division flow preconditions","division-preconditions","2026-08-06","passed","2026-08-06","","","",""
"","21571","Applicant step validates the mobile number field @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
