"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27974","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM Help Center - Contact us","","",""
"","22082","Applicant step validates the mobile number field @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
"","32445","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
"","60249","Cash division - Bank And Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","27513","apply division flow preconditions","division-preconditions","2026-08-06","passed","2026-08-06","","","",""
"","34483","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
"","60539","Cash division - Bank Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","9783","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-08-06","passed","2026-08-06","Nafath login","","",""
"","33452","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-08-06","passed","2026-08-06","CRM complaints","","",""
"","28789","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","28157","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","28766","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","20771","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-08-06","failed","2026-08-06","CRM Help Center - FAQ","","",""
"","51446","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","67532","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","61042","Cash division - Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","69279","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","66701","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","28053","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
