"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30171","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-09-02","passed","2026-09-02","CRM complaints","","",""
"","19450","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-09-02","failed","2026-09-02","CRM Help Center - FAQ","","",""
"","22609","Heir views and adds bank account information @profile","Google Chrome","2026-09-02","passed","2026-09-02","Profile - Bank account information","","",""
"","59652","Cash division - Bank And Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Inheritance seeder","","",""
"","27379","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Division blockers","","",""
"","66051","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Inheritance seeder","","",""
"","32819","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-09-02","passed","2026-09-02","CRM complaints","","",""
"","26906","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-09-02","passed","2026-09-02","Division blockers","","",""
"","45101","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-09-02","passed","2026-09-02","CRM complaints","","",""
"","40036","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-09-02","broken","2026-09-02","Nafath login","","",""
"","58240","Cash division - Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Inheritance seeder","","",""
"","17876","Heir logs in and views their profile @profile","Google Chrome","2026-09-02","passed","2026-09-02","Profile - Mobile number","","",""
"","71542","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Inheritance seeder","","",""
"","22131","IBAN validation only checks shape, not that the account digits are numeric @profile","Google Chrome","2026-09-02","passed","2026-09-02","Profile - Bank account information","","",""
"","72728","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Inheritance seeder","","",""
"","53456","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-09-02","passed","2026-09-02","Inheritance seeder","","",""
"","60218","Applicant step validates the mobile number field @crm","Google Chrome","2026-09-02","broken","2026-09-02","CRM complaints","","",""
"","26563","apply division flow preconditions","division-preconditions","2026-09-02","passed","2026-09-02","","","",""
"","26730","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-09-02","passed","2026-09-02","Division blockers","","",""
"","27756","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Division blockers","","",""
"","61745","Cash division - Bank Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-09-02","passed","2026-09-02","Inheritance seeder","","",""
"","21722","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-09-02","passed","2026-09-02","CRM Help Center - Contact us","","",""
