"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23580","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-26","passed","2026-08-26","Division blockers","","",""
"","24212","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-08-26","passed","2026-08-26","CRM Help Center - Contact us","","",""
"","21373","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-08-26","failed","2026-08-26","CRM Help Center - FAQ","","",""
"","35552","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-08-26","passed","2026-08-26","CRM complaints","","",""
"","60030","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Inheritance seeder","","",""
"","52177","Cash division - Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Inheritance seeder","","",""
"","20259","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Division blockers","","",""
"","21681","apply division flow preconditions","division-preconditions","2026-08-26","passed","2026-08-26","","","",""
"","23536","Applicant step validates the mobile number field @crm","Google Chrome","2026-08-26","passed","2026-08-26","CRM complaints","","",""
"","23474","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-26","passed","2026-08-26","Division blockers","","",""
"","32150","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-08-26","passed","2026-08-26","CRM complaints","","",""
"","59319","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Inheritance seeder","","",""
"","25533","IBAN validation only checks shape, not that the account digits are numeric @profile","Google Chrome","2026-08-26","passed","2026-08-26","Profile - Bank account information","","",""
"","54594","Cash division - Bank Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Inheritance seeder","","",""
"","26041","Heir views and adds bank account information @profile","Google Chrome","2026-08-26","passed","2026-08-26","Profile - Bank account information","","",""
"","58783","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Inheritance seeder","","",""
"","23671","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Division blockers","","",""
"","36944","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-08-26","passed","2026-08-26","CRM complaints","","",""
"","51109","Cash division - Bank And Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-26","passed","2026-08-26","Inheritance seeder","","",""
"","46176","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-26","passed","2026-08-26","Inheritance seeder","","",""
"","10327","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-08-26","passed","2026-08-26","Nafath login","","",""
"","22109","Heir logs in and views their profile @profile","Google Chrome","2026-08-26","passed","2026-08-26","Profile - Mobile number","","",""
