"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24686","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-30","passed","2026-08-30","Division blockers","","",""
"","63415","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Inheritance seeder","","",""
"","26184","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-08-30","passed","2026-08-30","CRM Help Center - Contact us","","",""
"","62744","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Inheritance seeder","","",""
"","24031","apply division flow preconditions","division-preconditions","2026-08-30","passed","2026-08-30","","","",""
"","54238","Cash division - Bank And Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Inheritance seeder","","",""
"","9484","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-08-30","passed","2026-08-30","Nafath login","","",""
"","51766","Cash division - Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Inheritance seeder","","",""
"","21667","Applicant step validates the mobile number field @crm","Google Chrome","2026-08-30","passed","2026-08-30","CRM complaints","","",""
"","24501","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Division blockers","","",""
"","35861","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-08-30","passed","2026-08-30","CRM complaints","","",""
"","56347","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Inheritance seeder","","",""
"","20900","Heir logs in and views their profile @profile","Google Chrome","2026-08-30","passed","2026-08-30","Profile - Mobile number","","",""
"","33914","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-08-30","passed","2026-08-30","CRM complaints","","",""
"","31824","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-08-30","passed","2026-08-30","CRM complaints","","",""
"","24706","Heir views and adds bank account information @profile","Google Chrome","2026-08-30","passed","2026-08-30","Profile - Bank account information","","",""
"","24760","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-30","passed","2026-08-30","Division blockers","","",""
"","20950","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-08-30","failed","2026-08-30","CRM Help Center - FAQ","","",""
"","27319","IBAN validation only checks shape, not that the account digits are numeric @profile","Google Chrome","2026-08-30","passed","2026-08-30","Profile - Bank account information","","",""
"","52241","Cash division - Bank Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Inheritance seeder","","",""
"","24746","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-30","passed","2026-08-30","Division blockers","","",""
"","44129","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-30","passed","2026-08-30","Inheritance seeder","","",""
