"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34506","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-08-16","passed","2026-08-16","CRM complaints","","",""
"","28056","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Division blockers","","",""
"","26012","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-08-16","passed","2026-08-16","CRM Help Center - Contact us","","",""
"","71284","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Inheritance seeder","","",""
"","21269","Applicant step validates the mobile number field @crm","Google Chrome","2026-08-16","passed","2026-08-16","CRM complaints","","",""
"","67489","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Inheritance seeder","","",""
"","61223","Cash division - Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Inheritance seeder","","",""
"","27153","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-16","passed","2026-08-16","Division blockers","","",""
"","27108","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-16","passed","2026-08-16","Division blockers","","",""
"","65681","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Inheritance seeder","","",""
"","51417","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-16","passed","2026-08-16","Inheritance seeder","","",""
"","33578","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-08-16","passed","2026-08-16","CRM complaints","","",""
"","60118","Cash division - Bank And Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Inheritance seeder","","",""
"","22604","Heir logs in and views their profile @profile","Google Chrome","2026-08-16","passed","2026-08-16","Profile - Mobile number","","",""
"","27993","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Division blockers","","",""
"","7957","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-08-16","passed","2026-08-16","Nafath login","","",""
"","31250","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-08-16","passed","2026-08-16","CRM complaints","","",""
"","20260","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-08-16","failed","2026-08-16","CRM Help Center - FAQ","","",""
"","25712","Heir views and adds bank account information @profile","Google Chrome","2026-08-16","passed","2026-08-16","Profile - Bank account information","","",""
"","26231","apply division flow preconditions","division-preconditions","2026-08-16","passed","2026-08-16","","","",""
"","59472","Cash division - Bank Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-16","passed","2026-08-16","Inheritance seeder","","",""
"","25135","IBAN validation only checks shape, not that the account digits are numeric @profile","Google Chrome","2026-08-16","passed","2026-08-16","Profile - Bank account information","","",""
