"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60774","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-20","passed","2026-08-20","Inheritance seeder","","",""
"","54619","Cash division - Bank Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-20","passed","2026-08-20","Inheritance seeder","","",""
"","32543","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-08-20","passed","2026-08-20","CRM complaints","","",""
"","25473","apply division flow preconditions","division-preconditions","2026-08-20","passed","2026-08-20","","","",""
"","49984","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-20","passed","2026-08-20","Inheritance seeder","","",""
"","35163","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-08-20","passed","2026-08-20","CRM complaints","","",""
"","25723","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-20","passed","2026-08-20","Division blockers","","",""
"","50629","Cash division - Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-20","passed","2026-08-20","Inheritance seeder","","",""
"","29594","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-20","failed","2026-08-20","Division blockers","","",""
"","30703","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-20","failed","2026-08-20","Division blockers","","",""
"","60676","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-20","passed","2026-08-20","Inheritance seeder","","",""
"","21748","Heir views and adds bank account information @profile","Google Chrome","2026-08-20","passed","2026-08-20","Profile - Bank account information","","",""
"","34329","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-08-20","passed","2026-08-20","CRM Help Center - Contact us","","",""
"","53280","Cash division - Bank And Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-20","passed","2026-08-20","Inheritance seeder","","",""
"","18955","Heir logs in and views their profile @profile","Google Chrome","2026-08-20","passed","2026-08-20","Profile - Mobile number","","",""
"","21568","Applicant step validates the mobile number field @crm","Google Chrome","2026-08-20","passed","2026-08-20","CRM complaints","","",""
"","21790","IBAN validation only checks shape, not that the account digits are numeric @profile","Google Chrome","2026-08-20","passed","2026-08-20","Profile - Bank account information","","",""
"","9061","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-08-20","passed","2026-08-20","Nafath login","","",""
"","20856","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-08-20","failed","2026-08-20","CRM Help Center - FAQ","","",""
"","29958","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-20","failed","2026-08-20","Division blockers","","",""
"","33589","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-08-20","passed","2026-08-20","CRM complaints","","",""
"","66822","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-20","passed","2026-08-20","Inheritance seeder","","",""
